auth_id,auth_name,auth_country,auth_date_birth
1                                       ,Practical Ecommerce                                         ,India                         ,1977-01-06
2                                       ,Telerik                                                     ,Ukraine                       ,1970-03-14
3                                       ,Randy Andrews                                               ,India                         ,1975-04-30
4                                       ,Timothy Goddard                                             ,Austria                       ,1951-07-05
5                                       ,The Tech Informist                                          ,El Salvador                   ,2017-04-30
6                                       ,TechNative                                                  ,Germany                       ,2013-05-22
7                                       ,Living Water                                                ,Japan                         ,1958-05-21
8                                       ,Brian Fanzo & Daniel Newman                                 ,Italy                         ,1961-01-17
9                                       ,Leo Laporte                                                 ,Czech Republic                ,1970-07-08
10                                      ,Digital India                                               ,Belgium                       ,1959-01-18
11                                      ,Dan Kendall                                                 ,Belgium                       ,1950-02-07
12                                      ,Citrusonic                                                  ,India                         ,1994-02-08
13                                      ,Richard and Jason                                           ,Canada                        ,2003-11-01
14                                      ,Johnathan Mosen                                             ,Argentina                     ,1992-07-09
15                                      ,Far From.TV                                                 ,Japan                         ,1973-02-27
16                                      ,Leo Laporte                                                 ,Belgium                       ,1981-04-26
17                                      ,Ross Morrone                                                ,France                        ,1998-03-23
18                                      ,George Jones                                                ,Belgium                       ,2011-08-09
19                                      ,Breandan Dezendorf                                          ,Russian Federation            ,2011-03-17
20                                      ,"Greg Ferro, Ethan Banks                                     ",Finland                       ,1978-11-21
21                                      ,Relay FM                                                    ,Italy                         ,1953-06-20
22                                      ,Roadshow by CNET                                            ,El Salvador                   ,1997-08-14
23                                      ,Roadshow by CNET                                            ,India                         ,1952-09-01
24                                      ,Roadshow by CNET                                            ,United Kingdom                ,1985-07-12
25                                      ,Tim Staab                                                   ,Egypt                         ,1971-03-10
26                                      ,2 Guys Talking Wine                                         ,Mexico                        ,1994-07-12
28                                      ,Dan Hardick                                                 ,Russian Federation            ,1992-06-25
29                                      ,Clint Salter                                                ,Mexico                        ,1964-07-10
30                                      ,Top 5 Comics Podcast                                        ,Argentina                     ,2017-09-25
31                                      ,Write Pack Radio                                            ,Niger                         ,1983-11-07
32                                      ,Jurgen Rudolph                                              ,Taiwan                        ,1954-08-30
33                                      ,Lisa Scheps                                                 ,Japan                         ,1958-11-23
34                                      ,Milwaukee Record                                            ,Afghanistan                   ,1980-01-14
35                                      ,Opera After Dark                                            ,Brazil                        ,1995-09-02
36                                      ,Andre's Neo Soul                                            ,El Salvador                   ,2002-10-04
37                                      ,Kevin Trotman                                               ,Cambodia                      ,2000-01-10
38                                      ,Richard Jacobs                                              ,Turkey                        ,2021-11-05
39                                      ,Heck Yeah Comics                                            ,Austria                       ,1991-11-02
40                                      ,OverDrive                                                   ,Italy                         ,1995-07-06
41                                      ,Finch & Partners / Dean & DeLuca                            ,Italy                         ,1951-08-28
42                                      ,Poetry Foundation                                           ,El Salvador                   ,1977-04-14
43                                      ,Ryan Daly                                                   ,Belgium                       ,1986-03-03
44                                      ,Visual+mente                                                ,Russian Federation            ,2018-03-06
45                                      ,Jim Hanke                                                   ,Cambodia                      ,1987-09-09
46                                      ,Philharmonia Orchestra (podcast@philharmonia.co.uk)         ,Spain                         ,2015-05-12
47                                      ,Audioboom                                                   ,Canada                        ,2004-01-26
48                                      ,Junkfood Cinema                                             ,Korea (South)                 ,1960-05-27
49                                      ,SModcast Network                                            ,Afghanistan                   ,1954-03-17
50                                      ,Alex Dillon                                                 ,Japan                         ,1982-04-22
51                                      ,96.3 KKLZ                                                   ,Japan                         ,2009-11-26
